iter	RMSE
0	0.372850191
1	0.3597046653
2	0.3462344586
3	0.3326842112
4	0.3198007753
5	0.3077739279
6	0.2960470465
7	0.2854617706
8	0.2754304382
9	0.2660749934
10	0.2570768471
11	0.2486373538
12	0.2405867501
13	0.2325214023
14	0.2255047586
15	0.21886013
16	0.2126383664
17	0.2064115374
18	0.2004569488
19	0.1949324157
20	0.1899692575
21	0.1849609173
22	0.1804141561
23	0.176194878
24	0.1720069445
25	0.1682434109
26	0.1647016987
27	0.1613162993
28	0.1581380721
29	0.155032546
30	0.1520157739
31	0.1492364798
32	0.1468308943
33	0.1444238282
34	0.1423670944
35	0.140436987
36	0.1385161881
37	0.1367205947
38	0.1349078021
39	0.1333297312
40	0.1319656203
41	0.1307644405
42	0.1293885663
43	0.1282001061
44	0.1271939089
45	0.1261796371
46	0.1251315216
47	0.1241240463
48	0.1232805609
49	0.1224239513
50	0.1215592203
51	0.1207995002
52	0.1201663151
53	0.119538796
54	0.1190241285
55	0.1184893419
56	0.1180239945
57	0.11750172
58	0.1170747227
59	0.1165577421
60	0.1161929374
61	0.1159183814
62	0.1155634511
63	0.1152920808
64	0.1149716214
65	0.1146887713
66	0.1144609376
67	0.1141339113
68	0.1138928653
69	0.1136421373
70	0.1134075823
71	0.1132079626
72	0.1129724084
73	0.1128229511
74	0.1126796116
75	0.1125019995
76	0.1124128964
77	0.1122544559
78	0.1121440508
79	0.1120007797
80	0.1118480382
81	0.1117356202
82	0.1116501689
83	0.1115077194
84	0.1114070791
85	0.1112965121
86	0.1111986966
87	0.1110646756
88	0.1109723629
89	0.1108752846
90	0.1108103581
91	0.1107362312
92	0.110613757
93	0.1105269958
94	0.1104664209
95	0.1104148438
96	0.1103363582
97	0.1102660273
98	0.1102030661
99	0.1100949242
100	0.110026038
101	0.1099869988
102	0.1099318726
103	0.1098336688
104	0.1097477285
105	0.1097133226
106	0.1096391047
107	0.109586472
108	0.1094749969
109	0.1093846933
110	0.1093321641
111	0.1092225382
112	0.1091400151
113	0.10911191
114	0.1090740807
115	0.1089998577
116	0.1089645397
117	0.1089131083
118	0.1088821952
119	0.1088525392
120	0.1087859216
121	0.1087052554
122	0.1086492793
123	0.1085810952
124	0.1085528776
125	0.1084778585
126	0.1084470327
127	0.1083642231
128	0.1083293026
129	0.1082821282
130	0.1082132235
131	0.1081640519
132	0.1080649082
133	0.1080092491
134	0.1079725555
135	0.1079336981
136	0.1079025996
137	0.1078340663
138	0.1077872939
139	0.1077008403
140	0.1076153611
141	0.1075482171
142	0.107484932
143	0.1074444257
144	0.1074010849
145	0.1073574195
146	0.1072829333
147	0.1072242165
148	0.1071456162
149	0.1070976964
150	0.1070576378
151	0.1070112143
152	0.1069690188
153	0.1068877839
154	0.1068439983
155	0.1068167658
156	0.1067359076
157	0.1066654773
158	0.1066292033
159	0.1065985151
160	0.1065149425
161	0.1064474129
162	0.1064183512
163	0.1063341361
164	0.1062604634
165	0.106215171
166	0.1061471622
167	0.1061024699
168	0.1060623356
169	0.1060244867
170	0.1059744317
171	0.1059408879
172	0.1058973617
173	0.1058662357
174	0.1058408478
175	0.1058103848
176	0.1057409262
177	0.1057120073
178	0.105684144
179	0.1056227809
180	0.1055860289
181	0.1055585734
182	0.1055266516
183	0.1054992996
184	0.1054674873
185	0.1054450223
186	0.1053582465
187	0.1052984232
188	0.1052746002
189	0.1052120726
190	0.1051892588
191	0.1050840035
192	0.1049962211
193	0.1049134447
194	0.1048770827
195	0.1048282687
196	0.1047347208
197	0.104712127
198	0.1046860222
199	0.1046033047
200	0.1045745044
201	0.1045486707
202	0.104521844
203	0.104510276
204	0.1044302114
205	0.1043560426
206	0.1043345963
207	0.1042650365
208	0.1042049496
209	0.1041787747
210	0.1041221154
211	0.1040947028
212	0.1040198244
213	0.1039998566
214	0.1039015187
215	0.103820933
216	0.103747935
217	0.1037235756
218	0.1036485268
219	0.1035578573
220	0.1035383144
221	0.1035194079
222	0.1034412589
223	0.1033703205
224	0.1033514572
225	0.10327768
226	0.1032106998
227	0.1031923629
228	0.1031274827
229	0.1030419838
230	0.1029813454
231	0.1029190024
232	0.102891998
233	0.102826718
234	0.1027635218
235	0.1027431609
236	0.1027214761
237	0.1026595169
238	0.1026423622
239	0.1025614028
240	0.1025012778
241	0.1024259715
242	0.1023447864
243	0.1023028858
244	0.1022329998
245	0.102159282
246	0.1021430163
247	0.1020703737
248	0.1020566317
249	0.1020036251
250	0.101990661
251	0.1019650665
252	0.1019029632
253	0.1018551455
254	0.1018335732
255	0.1017804996
256	0.101773603
257	0.1017160715
258	0.1016773239
259	0.1016549576
260	0.1015878894
261	0.101515397
262	0.1014824549
263	0.1014128988
264	0.101365518
265	0.1013029732
266	0.10124694
267	0.1011909614
268	0.1011715135
269	0.1011365281
270	0.1010633166
271	0.1010097526
272	0.1009605193
273	0.1008991927
274	0.100832106
275	0.1008136036
276	0.1007404125
277	0.100660458
278	0.1006005469
279	0.1005495347
280	0.100499952
281	0.1004431274
282	0.1003915282
283	0.1003589735
284	0.1003377649
285	0.1003171514
286	0.1002552981
287	0.1002343823
288	0.1001871406
289	0.1001065757
290	0.1000770917
291	0.1000571983
292	0.1000095937
293	0.09995011934
294	0.0999077945
295	0.09987820563
296	0.09982698528
297	0.09977288571
298	0.09972853585
299	0.09967127421
